crop,area,rainfall,pesticide,soil_ph,fertilizer,temperature,yield
Rice,61.57,2155.83,2.03,5.07,181.18,25.98,5.48
Rice,11.96,2033.6,1.95,5.11,213.27,32.06,8.25
Rice,96.67,1120.87,0.93,5.79,100.24,25.41,5.21
Rice,19.73,2195.47,0.87,6.4,244.84,26.52,9.0
Rice,42.64,1296.05,0.74,5.28,292.3,21.73,6.22
Rice,25.28,2157.78,1.19,5.53,163.38,25.07,5.39
Rice,3.9,1857.16,1.18,5.13,119.72,24.33,7.04
Rice,59.91,1824.69,0.64,5.31,122.53,28.43,7.12
Rice,29.29,2151.46,0.79,5.38,218.61,20.68,3.84
Rice,87.15,1127.05,0.74,5.4,290.77,33.74,3.12
Rice,33.32,1352.61,2.46,5.66,207.25,23.85,3.85
Rice,74.02,1768.71,1.87,5.49,146.89,23.63,7.21
Rice,16.68,1392.21,2.42,5.6,107.18,26.29,6.35
Rice,21.5,1992.22,2.18,5.62,129.87,25.83,6.99
Rice,65.38,1600.8,0.65,5.1,269.16,20.98,3.54
Rice,54.39,1625.04,1.02,5.26,217.78,28.87,8.83
Rice,1.87,1856.3,0.92,6.28,258.34,26.76,6.75
Rice,22.63,1755.38,1.07,6.29,136.03,24.49,5.9
Rice,31.16,1909.91,0.88,5.39,106.55,28.08,4.07
Rice,54.15,1264.8,1.53,6.24,219.28,23.07,6.12
Rice,70.82,2174.41,0.79,6.09,213.78,33.93,6.64
Rice,27.75,1387.66,0.71,6.5,194.51,26.29,4.32
Rice,35.45,1904.15,0.72,6.15,265.67,31.7,8.84
Rice,74.5,1686.18,2.19,5.76,234.72,34.31,7.55
Rice,45.95,1930.18,2.41,5.92,138.3,34.42,5.45
Rice,24.63,1747.94,2.32,5.02,273.75,21.58,7.4
Rice,81.2,1842.99,2.01,5.41,259.11,22.56,4.12
Rice,68.84,2077.61,1.69,5.98,211.61,27.95,8.93
Rice,73.97,1206.34,0.54,5.1,129.47,31.76,6.51
Rice,52.39,1939.59,1.06,6.27,280.85,24.53,5.01
Rice,31.69,2070.83,1.5,5.88,216.0,25.25,5.16
Rice,11.08,1326.02,0.94,5.19,291.55,28.52,4.18
Rice,41.82,1143.79,1.79,5.44,281.56,24.37,5.7
Rice,20.76,2152.83,1.57,6.46,194.16,34.92,6.37
Rice,46.39,2097.21,2.0,5.42,103.42,20.7,6.67
Rice,31.18,2179.63,0.56,6.16,216.34,30.67,4.67
Rice,76.77,1348.5,1.05,6.03,261.79,21.61,7.47
Rice,18.55,1506.93,0.88,6.48,226.59,33.87,5.49
Rice,46.78,1975.92,0.98,5.03,261.16,20.4,4.34
Rice,59.86,1467.73,1.66,6.39,184.26,20.58,6.0
Rice,4.55,1268.28,2.34,5.23,229.29,21.69,7.21
Rice,42.01,1951.06,0.77,6.29,128.87,33.15,4.54
Rice,96.54,1690.81,1.02,5.06,216.96,33.08,7.91
Rice,75.83,1583.93,0.61,6.2,262.04,22.99,4.21
Rice,24.11,1690.52,2.19,5.19,117.81,28.03,7.22
Rice,17.24,1232.23,1.41,5.83,126.05,32.22,3.36
Rice,87.48,1693.26,1.98,6.42,183.34,22.39,6.43
Rice,72.46,2070.92,1.54,5.64,181.34,27.29,3.67
Rice,90.09,1126.15,0.95,6.18,115.98,30.25,3.26
Rice,97.83,2022.0,1.81,6.44,198.85,31.17,6.44
Rice,15.98,1325.57,0.8,5.01,180.02,29.71,3.34
Rice,64.71,2155.45,0.83,5.42,238.42,23.75,4.06
Rice,50.1,1655.67,2.04,6.28,113.69,22.85,5.73
Rice,78.74,1037.17,1.8,5.32,285.36,26.92,6.06
Rice,89.35,1500.22,1.52,6.01,158.1,27.34,4.31
Rice,88.69,1122.48,0.85,5.89,134.26,33.18,4.57
Rice,52.74,1099.52,1.37,5.82,275.33,32.94,7.25
Rice,96.54,1891.1,0.88,6.07,281.84,27.82,8.41
Rice,80.26,1872.18,2.04,5.2,268.63,34.27,3.52
Rice,28.78,1369.52,2.45,5.55,182.44,23.13,5.91
Rice,25.4,1686.41,1.66,5.62,130.46,32.42,6.03
Rice,56.58,1375.28,1.32,5.86,200.25,33.9,4.22
Rice,93.94,1900.5,0.58,6.11,238.62,26.24,6.7
Rice,98.73,2105.9,1.77,5.35,132.67,30.39,6.0
Rice,20.13,1670.27,2.06,5.52,282.5,28.45,7.42
Rice,88.18,1529.86,1.17,5.78,205.82,32.51,5.42
Rice,98.19,2095.66,1.06,5.32,152.94,33.61,3.31
Rice,29.91,1607.29,0.64,6.05,160.92,27.91,3.47
Rice,6.59,2185.09,1.27,5.91,260.79,26.33,8.06
Rice,71.26,1419.72,2.25,6.36,252.14,25.16,4.42
Rice,16.19,1517.73,0.92,6.41,228.08,33.6,5.87
Rice,5.51,1954.43,1.63,6.18,288.13,24.59,5.51
Rice,20.63,1038.44,2.47,5.58,251.51,34.95,3.42
Rice,9.76,2178.06,0.83,5.93,220.63,23.97,7.65
Rice,54.78,1293.94,2.35,5.33,245.1,27.14,6.68
Rice,55.64,1253.76,1.57,5.14,268.63,21.47,6.49
Rice,23.74,1149.06,2.18,6.09,239.09,22.51,6.24
Rice,71.2,1871.29,1.43,5.68,293.39,34.65,6.83
Rice,35.03,1694.73,0.89,6.26,284.86,33.59,3.66
Rice,38.01,1128.03,2.18,6.21,191.85,21.62,6.47
Rice,25.95,1738.76,2.22,6.07,283.63,31.09,4.26
Rice,90.26,1375.65,1.5,5.26,197.73,20.12,3.06
Rice,50.98,1507.97,1.91,5.22,145.91,22.97,4.92
Rice,60.33,1759.09,1.27,6.03,281.5,32.41,5.2
Rice,90.78,1936.03,0.68,6.4,172.77,31.26,6.0
Rice,26.97,1179.46,2.35,5.65,239.1,20.24,3.29
Rice,18.21,1578.52,0.81,5.9,271.91,27.19,6.48
Rice,29.42,1418.37,0.78,5.63,266.14,20.54,4.46
Rice,53.03,1754.29,2.13,5.83,102.46,28.4,5.06
Rice,2.52,1252.78,2.14,5.92,134.29,34.05,3.12
Rice,92.42,1247.4,1.33,6.48,205.58,24.03,7.31
Rice,67.66,1515.04,1.0,5.36,108.87,23.38,5.55
Rice,22.99,1423.52,1.76,5.63,272.41,24.82,5.68
Rice,57.24,2120.93,1.47,5.25,265.5,25.65,7.87
Rice,45.64,1892.12,2.03,5.75,178.21,32.47,4.75
Rice,79.7,1420.93,0.58,6.15,173.08,22.97,6.62
Rice,5.0,2170.17,0.94,6.15,116.83,33.21,4.39
Rice,95.47,1194.73,2.15,6.06,156.73,26.95,6.95
Rice,25.34,2136.76,1.64,5.52,241.89,29.64,4.24
Rice,56.19,1163.59,0.96,5.06,112.72,20.11,5.34
Maize,34.69,723.62,1.15,6.19,341.09,27.84,6.62
Maize,9.42,974.71,0.65,6.19,169.75,27.65,8.04
Maize,62.6,554.16,0.47,5.6,263.08,28.0,6.38
Maize,46.81,887.87,1.29,5.8,220.0,26.8,9.05
Maize,138.2,716.74,0.61,6.42,292.62,30.34,4.88
Maize,106.28,886.25,1.32,7.29,226.49,23.01,9.96
Maize,28.04,818.79,1.54,6.38,226.16,30.98,6.71
Maize,88.05,707.88,1.2,6.21,304.73,31.11,5.29
Maize,36.44,601.6,0.78,6.53,202.05,21.16,7.87
Maize,6.04,828.89,1.36,5.61,191.98,20.01,6.99
Maize,67.8,987.6,0.34,6.39,314.26,24.92,12.0
Maize,101.95,871.91,1.88,5.89,174.8,29.77,6.43
Maize,114.45,910.58,1.13,5.87,162.78,29.44,8.08
Maize,72.19,830.52,1.97,5.79,289.72,19.23,10.51
Maize,42.22,586.21,0.43,7.04,158.87,31.95,5.88
Maize,6.9,685.28,1.0,7.31,167.44,20.05,7.09
Maize,57.51,510.11,0.89,6.98,287.54,18.03,7.27
Maize,135.46,713.3,1.97,5.54,208.69,27.06,9.09
Maize,147.58,667.6,0.41,6.44,246.68,18.73,5.34
Maize,14.99,735.47,1.26,6.13,201.42,26.68,9.99
Maize,50.93,677.52,1.18,7.0,191.56,21.98,6.15
Maize,86.68,789.64,0.57,7.29,163.82,20.15,4.75
Maize,54.91,576.29,1.29,6.3,190.78,22.96,4.29
Maize,87.28,771.79,0.88,7.37,193.42,19.48,5.78
Maize,43.09,540.63,1.01,6.37,157.86,19.46,7.17
Maize,55.28,638.37,0.5,7.42,264.35,21.31,11.43
Maize,86.07,943.54,1.77,5.83,340.87,19.09,5.22
Maize,116.27,508.0,0.76,6.18,258.51,18.84,10.08
Maize,42.18,658.47,0.83,5.87,329.11,19.91,4.59
Maize,55.39,806.2,1.39,7.44,309.56,27.89,10.68
Maize,52.39,965.58,0.47,6.31,217.24,18.21,9.79
Maize,18.46,785.59,1.89,5.51,300.63,29.17,7.93
Maize,93.52,721.43,0.76,6.7,341.56,28.67,11.13
Maize,82.31,764.59,0.64,7.07,312.62,29.29,12.42
Maize,34.89,907.74,0.34,7.33,189.32,19.51,8.11
Maize,133.62,680.75,1.92,7.13,150.39,30.28,7.96
Maize,128.32,656.24,0.5,7.3,329.74,22.69,6.44
Maize,46.62,952.61,0.47,7.26,280.0,28.78,11.34
Maize,123.72,917.41,1.27,6.18,239.97,29.67,4.42
Maize,61.1,903.16,0.89,6.03,219.69,25.4,7.93
Maize,119.82,506.27,0.91,5.97,313.55,19.24,5.91
Maize,37.52,586.83,1.19,7.24,264.41,23.2,7.86
Maize,59.83,858.08,1.98,6.98,328.52,19.98,7.72
Maize,84.95,618.51,0.93,7.03,338.66,31.38,5.12
Maize,46.14,896.84,1.83,7.33,302.39,30.92,8.66
Maize,26.39,529.11,1.62,6.66,195.45,27.07,6.3
Maize,144.2,922.01,1.79,6.09,260.42,29.99,9.29
Maize,90.47,620.85,1.15,5.54,296.46,22.18,7.05
Maize,13.56,567.82,1.53,7.31,221.13,19.31,7.85
Maize,55.45,869.94,1.86,7.42,222.98,24.36,6.01
Maize,43.59,749.09,1.14,6.13,203.67,18.2,5.82
Maize,1.13,715.52,1.86,6.86,232.63,19.66,6.35
Maize,19.61,871.25,0.85,6.81,201.8,18.82,4.86
Maize,141.0,973.68,1.25,5.58,272.08,30.15,8.46
Maize,118.54,963.66,0.34,7.17,275.85,20.86,13.21
Maize,128.97,901.63,0.88,7.48,314.65,22.34,5.8
Maize,2.23,972.02,0.53,6.36,208.37,27.49,6.4
Maize,11.35,628.35,0.89,7.48,154.95,22.67,6.13
Maize,140.87,960.72,1.57,7.39,339.12,22.0,9.15
Maize,86.22,706.95,0.37,6.52,223.59,22.28,7.8
Maize,86.84,828.61,1.0,6.97,257.56,30.27,6.67
Maize,143.85,572.39,1.78,5.67,298.27,25.72,7.01
Maize,53.74,794.64,0.76,7.37,325.76,24.41,7.69
Maize,45.55,756.29,1.76,5.58,323.98,31.23,11.31
Maize,53.53,799.62,0.86,6.58,275.87,28.92,11.37
Maize,136.8,843.18,1.99,6.23,259.26,20.53,7.58
Maize,7.8,579.15,0.9,6.81,273.77,20.18,6.48
Maize,76.44,810.67,0.68,7.25,266.64,19.35,7.0
Maize,50.51,945.46,1.34,6.03,189.93,18.04,5.62
Maize,134.26,725.31,1.72,7.0,185.89,30.36,4.14
Maize,148.19,795.43,0.8,5.62,264.49,28.52,12.39
Maize,82.68,656.18,1.04,5.78,161.99,22.13,7.09
Maize,45.79,896.3,1.73,6.4,299.12,29.02,9.77
Maize,6.57,797.18,0.48,7.41,289.6,29.18,10.68
Maize,11.96,846.85,1.06,7.13,158.68,20.57,7.14
Maize,13.5,541.43,0.91,5.74,172.67,19.8,8.2
Maize,45.09,639.77,1.97,6.04,160.09,26.15,6.03
Maize,31.66,695.84,1.38,6.84,304.37,25.94,7.4
Maize,69.24,763.18,1.29,6.67,246.59,30.43,8.51
Maize,12.39,672.45,1.42,6.89,176.73,24.73,6.85
Maize,86.4,531.38,1.12,6.18,282.55,21.09,8.48
Maize,56.77,675.85,0.8,5.52,188.35,31.29,7.82
Maize,61.14,756.54,0.74,6.17,173.24,27.43,8.93
